subdistrict_code,0_0,0_1,0_2
822,0.7595085,0.17670412,0.063787386
757,0.621687,0.24043866,0.13787435
937,0.6623388,0.23203287,0.105628334
907,0.65468204,0.24221013,0.103107855
836,0.7253267,0.1934221,0.081251174
