subdistrict_code,0_0,0_1,0_2
757,0.39946383,0.4955216,0.10501461
822,0.7350975,0.21479578,0.05010677
937,0.51333606,0.401112,0.085551955
907,0.7322767,0.21580862,0.051914692
836,0.7534018,0.18838634,0.058211744
